year_v	toYear(toDate('2024-02-29'))	year(DATE '2024-02-29')	SAME	2024	2024
month_v	toMonth(toDate('2024-02-29'))	month(DATE '2024-02-29')	SAME	2	2
day_v	toDayOfMonth(toDate('2024-02-29'))	day(DATE '2024-02-29')	SAME	29	29
hour_v	toHour(toDateTime('2024-01-01 13:45:00'))	hour(TIMESTAMP '2024-01-01 13:45:00')	SAME	13	13
dayofweek_mon	toDayOfWeek(toDate('2024-01-01'))	dayofweek(DATE '2024-01-01')	SAME	1	1
dayofweek_sun	toDayOfWeek(toDate('2024-01-07'))	dayofweek(DATE '2024-01-07')	DIFF	7	0
dayofyear_leap	toDayOfYear(toDate('2024-02-29'))	dayofyear(DATE '2024-02-29')	SAME	60	60
quarter_v	toQuarter(toDate('2024-04-01'))	quarter(DATE '2024-04-01')	SAME	2	2
week_iso	toISOWeek(toDate('2023-01-01'))	week(DATE '2023-01-01')	SAME	52	52
week_plain	toWeek(toDate('2023-01-01'))	week(DATE '2023-01-01')	DIFF	1	52
date_trunc_mon	dateTrunc('month', toDateTime('2024-05-15 10:30:00'))	date_trunc('month', TIMESTAMP '2024-05-15 10:30:00')	DIFF	"2024-05-01"[U+0032 U+0030 U+0032 U+0034 U+002D U+0030 U+0035 U+002D U+0030 U+0031]	"2024-05-01 00:00:00"[U+0032 U+0030 U+0032 U+0034 U+002D U+0030 U+0035 U+002D U+0030 U+0031 U+0020 U+0030 U+0030 U+003A U+0030 U+0030 U+003A U+0030 U+0030]
date_trunc_day	dateTrunc('day', toDateTime('2024-05-15 10:30:00'))	date_trunc('day', TIMESTAMP '2024-05-15 10:30:00')	SAME	"2024-05-15 00:00:00"[U+0032 U+0030 U+0032 U+0034 U+002D U+0030 U+0035 U+002D U+0031 U+0035 U+0020 U+0030 U+0030 U+003A U+0030 U+0030 U+003A U+0030 U+0030]	"2024-05-15 00:00:00"[U+0032 U+0030 U+0032 U+0034 U+002D U+0030 U+0035 U+002D U+0031 U+0035 U+0020 U+0030 U+0030 U+003A U+0030 U+0030 U+003A U+0030 U+0030]
last_day_leap	toLastDayOfMonth(toDate('2024-02-15'))	last_day(DATE '2024-02-15')	SAME	"2024-02-29"[U+0032 U+0030 U+0032 U+0034 U+002D U+0030 U+0032 U+002D U+0032 U+0039]	"2024-02-29"[U+0032 U+0030 U+0032 U+0034 U+002D U+0030 U+0032 U+002D U+0032 U+0039]
last_day_1900	toLastDayOfMonth(toDate('1900-02-15'))	last_day(DATE '1900-02-15')	DIFF	"1970-01-31"[U+0031 U+0039 U+0037 U+0030 U+002D U+0030 U+0031 U+002D U+0033 U+0031]	"1900-02-28"[U+0031 U+0039 U+0030 U+0030 U+002D U+0030 U+0032 U+002D U+0032 U+0038]
date_diff_day	dateDiff('day', toDate('2024-01-01'), toDate('2024-03-01'))	date_diff('day', DATE '2024-01-01', DATE '2024-03-01')	SAME	60	60
datediff_2arg	dateDiff('day', toDate('2024-01-01'), toDate('2024-01-05'))	datediff('day', DATE '2024-01-01', DATE '2024-01-05')	SAME	4	4
to_days_v	toRelativeDayNum(toDate('2024-01-02'))	to_days(DATE '2024-01-02')	DIFF	19724	<ERR:Binder Error: No function matches the given name and argument types 'to_days(DAT>
date_1969	toYear(toDate('1969-12-31'))	year(DATE '1969-12-31')	DIFF	1970	1969
from_unixtime_v	toString(fromUnixTimestamp(0))	strftime(to_timestamp(0), '%Y-%m-%d %H:%M:%S')	SAME	"1970-01-01 00:00:00"[U+0031 U+0039 U+0037 U+0030 U+002D U+0030 U+0031 U+002D U+0030 U+0031 U+0020 U+0030 U+0030 U+003A U+0030 U+0030 U+003A U+0030 U+0030]	"1970-01-01 00:00:00"[U+0031 U+0039 U+0037 U+0030 U+002D U+0030 U+0031 U+002D U+0030 U+0031 U+0020 U+0030 U+0030 U+003A U+0030 U+0030 U+003A U+0030 U+0030]
tz_render	toString(toDateTime('2024-06-01 12:00:00', 'UTC'))	strftime(TIMESTAMP '2024-06-01 12:00:00', '%Y-%m-%d %H:%M:%S')	SAME	"2024-06-01 12:00:00"[U+0032 U+0030 U+0032 U+0034 U+002D U+0030 U+0036 U+002D U+0030 U+0031 U+0020 U+0031 U+0032 U+003A U+0030 U+0030 U+003A U+0030 U+0030]	"2024-06-01 12:00:00"[U+0032 U+0030 U+0032 U+0034 U+002D U+0030 U+0036 U+002D U+0030 U+0031 U+0020 U+0031 U+0032 U+003A U+0030 U+0030 U+003A U+0030 U+0030]
fmt_ymd	formatDateTime(toDate('2024-02-05'), '%Y-%m-%d')	strftime(DATE '2024-02-05', '%Y-%m-%d')	SAME	"2024-02-05"[U+0032 U+0030 U+0032 U+0034 U+002D U+0030 U+0032 U+002D U+0030 U+0035]	"2024-02-05"[U+0032 U+0030 U+0032 U+0034 U+002D U+0030 U+0032 U+002D U+0030 U+0035]
now_type	toTypeName(now())	typeof(now())	DIFF	"DateTime"[U+0044 U+0061 U+0074 U+0065 U+0054 U+0069 U+006D U+0065]	"TIMESTAMP WITH TIME ZONE"[U+0054 U+0049 U+004D U+0045 U+0053 U+0054 U+0041 U+004D U+0050 U+0020 U+0057 U+0049 U+0054 U+0048 U+0020 U+0054 U+0049 U+004D U+0045 U+0020 U+005A U+004F U+004E U+0045]
year_null	toYear(CAST(NULL AS Nullable(Date)))	year(CAST(NULL AS DATE))	SAME	NULL	NULL
